user_id,social_type,channel_link,channel_name,channel_info,channel_readiness_collab,channel_verify,channel_ava,social_num_subs,social_num_photos,social_num_videos,social_num_files,social_num_links
06c4a41c18f74a9a9baf40230b80603a,tg,https://t.me/marketolognamax,Маркетолог на максималках,"13 лет в маркетинге и PR

реализовано более 100 проектов

Автор: Сухарева Алина @alinasuhare

Здесь всё о маркетинге, продвижении, личном бренде и развитии!",0,0,https://cdn4.cdn-telegram.org/file/LdwEpxTmQreUjZ3bKtRf-7WovhA5D2oDHLCt3KFSY_7uF6WvU3idroE-hpd0skMkNLFUvORDosaKubphdVkWikMlWDI51zOGM4lFSSa0tfr8IpzFHsZ9vAMa59AqLuellEvCj8RtZoAGO4jKOG0hxeIEuCv0vCOPRjBAxXt9HRUAxp7SHC7SBlDE6jyd_u51wKRfoClNaY6_EJ2N29LweMKjqZ6g0ERQFctSiWGE-niR7Z2vzsq6mheUiO_gn3RmxqyCogPRKt5jHaB6xuwnMK6PagnY01BpEOA6BGsXOihA-OQ9rO6nPzPB7kn3slYmG3IAOt85JLzI6u1HLz3HsQ.jpg,175,67,14,6,5
838c1d28c62e4236822a878a2a1d6d85,tg,https://t.me/MenshikovaproPR,МЕНШИКОВА ПРО ПИАР,"Экспертный блог журналиста и пиарщика,
наблюдателя со своим мнением.
Полезно для тех, кто развивает личный бренд и кому нужна стретегия продвижения

Связаться с автором @menshikova_pr",0,0,https://cdn4.cdn-telegram.org/file/ERgUqGdoTBWJ5ioR66-4cVBVV78cLDPEcHh71IUGsNWuhNIyMkz044w9E5YL9do8COo_-NXd0KZT99q9di432rnCUint7onf1xjdkOVtw5yzBF8GHPIsTEorzRJUIZOQkKAMqtnDjmwJ2uaHyHuPqyzwY0A_Zoi4_bRWA0-f2jLyARQlnZxiolQxZwk-w5LmI07Ixw2fjibetEiqPejZc7OGsTQH722qNyby7B5Egdc36T5YnDRwSyXvGmu66M3fUWLLlDgI8TQB_vA7R_wC00Tq7EU1qWLpArA1xBAg_6QW84c_w66pEv9B3INQkpzXEfxZPm-9DyeUgi9BhpVqvA.jpg,1.2K,945,511,39,540
dab030fb90c743c893a794a7b387596a,tg,https://t.me/zhd_10,Алексей Жданов про Performance маркетинг,"Привожу продажи на WB и OZON с помощью внешнего трафика.

Beauty/e-commerce/marketplaces/ed-tech

- Блогеры
- Яндекс Директ
- ВК реклама
- Telegram ads
- CRM стратегии
- Автоворонки
- AI автоматизация

@zhdd_11",0,0,https://cdn4.cdn-telegram.org/file/maa2Dzu2kSUzRDas5bFwgJHsDFNLnAXTRKGoY5tAlnIK3dEJz_pcREqfWhbrd5Ms7LMcnP3z8u-1m-udWru5veSBooBWZQzB-0Rj2FfkWgaotumDFjy82lBfXhYquSj3hb5bB9g0H0ETFcib2HrnG8BGRCDThiR1MbZYsXlP9VKoWlCTeK7dKqvyQ8nCNC9BlvoeOMudtwh_Pgml8ZV0LS_6jdKpUCqjj9vX1hDdcgUfW-K4fAZ1xtPpR_zKCGE-8Feg536HkWSRqr9hN4SxwtwqsdJm-d_GrRMq-zB1cn9eFre7xA0GFqtKdnYFC3s9TmRn3QlBQ-MSd2K3-Hcutg.jpg,873,36,3,6,38
396c7a86b364402da62880c7819dc930,tg,https://t.me/chaikinpro,⚜️Траблшутер. Алексей Чайкин. Бизнес наставник. Маркетолог.,"Консультации, сопровождение, бизнес Наставничество, выступления, предложения - в директ @prochaikin

В канале мысли, концепции, идеи и кейсы в области мышления, маркетинга и бизнес процессов, анонсы событий.

Разбираем методы траблшутинга.

chaikinpro.ru",0,0,https://cdn4.cdn-telegram.org/file/e5394v5CwAFM0aL8gpu57AR2UDxVIHG4ti-dvbNGEJZW4bc8HF5YiakE7h-vLAfNFMZsXqQC_6c_I4UI0CRfSwWJI89V5JZQOL43K2jFNV1-AWAB53KL2ePUIYmfXIfGAvW02Ax4MIHSNtj-3HuqxaEdwZ_1BCq3P0xfP9GvNPwC4qb9FxbSfjOw6SHtF5Ty12Xk2vZGh3vaSPEer6Km8Nx_hkOX2lUdWSKxloOczTFVf82cu6fWYKDMdIoULq9fPNiDkVsyxjP5rkVF3Himif9ksOjAQo1sktxvYrR7cmkjk8YGD-bwrUckzmJSQGHl1v5W4fqU6Y0wOtdpXsxmAQ.jpg,615,243,65,131,
330bb2b0d1d742fea2e935b103d2e349,tg,https://t.me/lilianagrechka,Гречка про SMM,"Та самая Лиля Гречка
Делаю так, чтобы у бизнеса были деньги (через социальные сети и пиар-стратегию)

SMM в ГК ТОЧНО
Руковожу своим креативным агентством

Контакт для связи: @almondbranch",0,0,https://cdn4.cdn-telegram.org/file/WRAS0Q2-N78CQeJn3SRjkyL7zj_Fw6cCsQFrMjnLY95AxNkF4bEpgpAjxWM6YQQwFB0palnqnKlIHZwhXzGvrI1IoL9AAENrhI68eR1uV4xKjWkk9tJ8BUhRHhGCB7obg94N6g1w7-LtIyX4ctDtxLaltb9spidK8j2nx6Nv0i-G0ZL9R7RCpYEB2Vk3LSdUKG2T4q4zHcusNdQov5bNQi2dS-44bQRQiQepLtwDqBifV0tPOXyO4_LpboVACPe1KbjCBV4NQYnfBb_9dvWNMRBL5jNr3obWP3S7_R29QPS43gMGNXLszN-kaLhxt8WZ7ygdZ9pZt0K1JbF9PpbYwA.jpg,511,1.51K,252,2,157
8e3e7525596d45dda3afb3bde189bf3f,tg,https://t.me/pgmarketing,ПГ | поисковый маркетинг,"Поисковый маркетинг «Паньшин Групп»: SEO, SERM, PPC, контент-маркетинг, геомаркетинг
Разбор кейсов по продвижению клиник и медцентров
Оставить заявку https://clck.ru/3MwDCV",0,0,https://cdn4.cdn-telegram.org/file/BqaAXurZTapcaEmyl10LNJoxWCVByoLkm54n1ZgUmRhmHZsOB7gR6--npNo4vfcdD94SEdk1Z9uZn4SNFcBpalxRzxlH8MNEFjozphnEUi7NQfU_E6uW_EyBog2aUQynRq81a6kLqZqRkVpmgbZqzLDYlT4e3ixGuNFAclwhUMagkaRDmOm-JPuZoX8-80XPbv4zHKd554F2VqdjuY6MEGr926ctv0zUlavB3tVJTDo3zmLxxWi0bkQsNIDASbHeBCUuS7DGLQ1prWMzL89v0_twD3paU0J4Si73Q2AfC7XIV-spSatVVGLDtJjcA8AFJMoHUm2HCR7WlkA0KrrbEA.jpg,457,638,61,8,506
684faf3693334bbdac6505c116c8c0ca,tg,https://t.me/smmlion,Хроники SMM-львицы,"Маркетинг, брендинг, продвижение

Разборы, стратегии, контент. Как расти через смыслы, а не хайп

Выступала в Эрмитаже и для Сбербанка. Выпускник Британки и Novikov School. 11+ лет опыта, 300 клиентов",0,0,https://cdn4.cdn-telegram.org/file/uRW5AWXj3OCHHLYe_NtGB2cjUNPcOBZrimrExnXiE5PR_ENlGXtJ9Xft1eOM0-M84fMfB44UN-54fY3qbtqwD9DRGvmyX8OonFLbjMWFgkBJYBFImBTLXbMQGGsaohz6bwa74mmIY1Y7ZkFBfj78rP8FWPYsrFYgC6IAIOs67siscHw6jsG8bjHuZneGjkynnmb-UhHfVGiobDOsIy9Jv1UAUjtQR4bPzfNz8iKwYg6z24KWcgpi92M2qKNXgyPAogdZ43f5YRp9B4RA4M4-t7e3W_Lsk7qnOCX9q3dvKIgGXXT_FrQVEGPLRCdnwgKEbZ9ByjCatCaYJgSKr4NiOw.jpg,432,1.27K,299,199,130
dee744afe12c4868a3ba933a2a2a53f1,tg,https://t.me/zharikovsales,Жариков о продажах 🤝,"Сергей Жариков
Рассказываю понятным языком о маркетинге и продажах по мотивам 20+ лет опыта в развитии проектов для разных отраслей бизнеса.

Бизнес-трекер Фонда развития инноваций Краснодарского края

Связаться: @zharikovss
+7 (952) 830-66-70",0,0,https://cdn4.cdn-telegram.org/file/fsU_IJyGfcODYg2NOZRi96N1yPdo4460KHznDxrAx7tz2Y49GIx0fYl0dnK0S_BTlIrTIhjUThZsGKsBM8ItXb01B4ALUrBnpGobrQ-9A1qSqpv8GhLgOFNu5Hb7-a6K4B2wo7Do78LXKWnSHtHXqEV4Cq7hKRwdWQYVWIc5Ga7iCzrJceFCb3ir2mim1AdAjdshgvuqBAWUWnoiZt56qHnbyDoltPkM8gTeuxySX1MYU3XwNGhfIXW2TjGxs-cpWWpcAYsRIjk0EGx_nDwgvVp_H_JvarsLxVEMhHrOe4W-SvpuvNfLKbrqGuT41yVDrKQLYHrOyWWsUbcXTPh95g.jpg,425,253,45,13,112
95c7c12829934c26944ccc4e226337f2,tg,https://t.me/shillersdesign,Студия «Шиллер»,"Я Александр Шиллер

Этот канал о том как создать бренд, который будут выбирать среди конкурентов.

О создании смыслов, продукте, маркетинге. О том как делать свой продукт понятным.

Александр: @shiller_lex",0,0,https://cdn4.cdn-telegram.org/file/H3t_QEHVsUnaHniuWYnvOsdvKeJ4B6RyyHotpbtoXUWm_VQ-jDV7zwlK3ImRc1x-C3lVdKGPlr8bP1bqWwzm2uDQslOP5hAHM9SLth3IMa4xVY5L44qCf35rVCSBWK_0Rpnbw16XxCdqTfXX_abt3O3FsDHgh_akVnfEyMNeOtvNJl2K10xljcTi7C_zUZHRmVvEa_zfwvPZTFVPKB-iE-7xOIa4T-lXx-L4vOicC8J7N36SNPTrO4RZC_PhkLKe0m3feTTR1fid9EWi74pEp3o0CJP1glXFGkC6i_Teq8NZZVcVXlPhWJQ4Qus4f_12vSrUgtOt4AdF2Uk78DIopA.jpg,391,71,62,5,31
f1bb73e7289b43178af96035959c04d7,tg,https://t.me/businessmother,ПредприниМать,"Простым и понятным языком про нейросети и AI-продукты.

Закрытый канал с уроками по ИИ в маркетинге, SMM, креативе: @ai_shorina_bot

Все вопросы сюда ➡️ @shorina_yu",0,0,https://cdn4.cdn-telegram.org/file/IihwFiq44IztBKahnBF6MKs5oaUz3YVOJ3IIZLVosV-LJ_1aNkk9Oz85fZdfUl7GeS0rMZDaadyag4Rb_dONFyr0JwsfgM6WyYFzHiVPZPmAgAYs0g4gYQtN-bvM9c4arGEvKPHdokhSKe4WSOPDXXXgHop7e814GncVWGDhvo0v6z-it7XLyT6R445SXDiCj-XSK0OjYkt_mvyFJR8pvF9aOM4TOs_U3X_shkg-GIKjv7pyIWRhejvLUCZiIViIi3rvUKjnydWoJEQiQIeJ08HEr_IPENj1gDjDzTSRyeWe8fjq8hGrIQ7he9mCaK9O26cMMH_LWmi9cLUX2bfeIA.jpg,309,263,44,3,98
