,user_id,social_num_subs,social_num_photos,social_num_videos,social_num_files,social_num_links,social_num_posts,social_num_reactions,social_num_comments,social_rate_engag_02,social_avg_time_02,social_rate_engag_03,social_avg_time_03,social_rate_engag_04,social_avg_time_04,social_rate_engag_05,social_avg_time_05,social_rate_engag_10,social_avg_time_10,social_rate_engag_15,social_avg_time_15,social_rate_engag_20,social_avg_time_20,social_rate_engag_25,social_avg_time_25,social_rate_engag_30,social_avg_time_30
0,d6e95df7703544d7b3631225bb7ef324,174,67,14,6,5,86,455,59,52.0,"19 дней, 1 час, 23 минуты",63.33,"10 дней, 9 часов, 42 минуты",77.75,"13 дней, 15 часов, 53 минуты",83.6,"10 дней, 22 часа, 39 минут",110.4,"11 дней, 8 часов, 29 минут",128.0,"9 дней, 8 часов, 55 минут",144.9,"11 дней, 10 часов, 26 минут",149.56,"11 дней, 53 минуты",153.77,"9 дней, 12 часов, 34 минуты"
1,4928b0964b2349408596e64e6ce3e4ee,4300,617,78,320,0,1025,25716,0,17.0,"20 часов, 17 минут",17.67,"11 часов, 20 минут",18.25,"22 часа, 50 минут",15.0,"1 день, 12 часов, 1 минута",7.8,"1 день, 13 часов, 23 минуты",5.33,"1 день, 9 часов, 50 минут",5.3,"1 день, 4 часа, 45 минут",8.48,"22 часа, 46 минут",9.27,"22 часа, 23 минуты"
2,fd357828b88e43d4b8a80d089dacbaa7,1200,958,513,39,547,2476,6426,0,2.0,11 минут,3.33,"4 часа, 39 минут",3.75,"3 часа, 6 минут",4.0,"2 часа, 20 минут",4.9,"3 часа, 15 минут",5.6,"4 часа, 4 минуты",6.05,"3 часа, 49 минут",5.92,"3 часа, 21 минута",6.9,"4 часа, 16 минут"
3,235cfe5492f24244a6b55e73559e3a7a,871,36,3,6,38,86,1090,0,99.0,"15 дней, 1 час, 48 минут",98.0,"12 дней, 20 часов, 58 минут",95.25,"8 дней, 14 часов, 45 минут",93.4,"9 дней, 12 часов, 45 минут",56.2,"14 дней, 5 часов, 56 минут",38.27,"11 дней, 23 часа, 50 минут",29.05,"9 дней, 13 часов, 46 минут",23.8,"8 дней, 18 часов, 5 минут",30.03,"7 дней, 22 часа, 58 минут"
4,fcba5067ddc14643b989c073587ca765,616,243,65,131,0,318,1659,0,19.5,"4 дня, 5 часов, 13 минут",13.0,"2 дня, 4 часа, 2 минуты",20.5,"2 дня, 2 часа, 42 минуты",24.0,"1 день, 14 часов, 2 минуты",32.6,"3 дня, 3 часа, 26 минут",32.47,"3 дня, 3 часа, 31 минута",36.0,"3 дня, 9 часов, 21 минута",34.2,3 дня,37.0,"4 дня, 12 часов, 30 минут"
5,16603d4989434cb4b4d8987e91f0daf8,515,1510,252,2,157,1815,8103,0,56.0,"1 день, 19 часов, 30 минут",69.0,"10 дней, 8 часов, 2 минуты",75.0,"6 дней, 23 часа, 53 минуты",75.4,"6 дней, 56 минут",63.8,"3 дня, 18 часов, 3 минуты",61.73,"2 дня, 18 часов, 45 минут",58.75,"2 дня, 9 часов, 39 минут",58.16,"2 дня, 14 часов, 49 минут",56.3,"2 дня, 7 часов, 58 минут"
6,24024735e6624192b52bea8e4977b9ff,456,639,61,8,507,14,164,0,10.0,"1 день, 20 минут",17.0,"1 день, 2 часа, 40 минут",19.5,"1 день, 32 минуты",23.2,"1 день, 19 часов, 36 минут",25.7,"1 день, 19 часов, 17 минут",31.21,"1 день, 18 часов, 45 минут",31.21,"1 день, 18 часов, 45 минут",31.21,"1 день, 18 часов, 45 минут",31.21,"1 день, 18 часов, 45 минут"
7,16729d17e4234f8cbef65aeae71a2380,431,1270,299,199,130,6,94,0,37.0,"4 дня, 22 часа, 54 минуты",43.0,"4 дня, 16 часов, 15 минут",42.75,"3 дня, 18 часов, 51 минута",42.2,"3 дня, 2 часа, 51 минута",42.67,"3 дня, 1 час, 28 минут",42.67,"3 дня, 1 час, 28 минут",42.67,"3 дня, 1 час, 28 минут",42.67,"3 дня, 1 час, 28 минут",42.67,"3 дня, 1 час, 28 минут"
8,85da3526af70474da3cb7261db2b7449,425,259,45,13,114,16,561,0,15.0,"8 часов, 7 минут",37.67,"1 день, 40 минут",54.5,"1 день, 9 часов, 37 минут",63.4,"1 день, 6 часов, 54 минуты",81.8,"1 день, 16 часов, 41 минута",94.13,"1 день, 12 часов, 29 минут",95.0,"1 день, 11 часов, 44 минуты",95.0,"1 день, 11 часов, 44 минуты",95.0,"1 день, 11 часов, 44 минуты"
9,4776c6dd429146bda7b371827ba26ddc,392,71,62,5,31,10,28,0,14.5,1 минута,18.0,"4 дня, 2 часа, 56 минут",21.0,"3 дня, 6 часов, 6 минут",21.2,"2 дня, 10 часов, 39 минут",26.7,"3 дня, 2 часа, 58 минут",26.7,"3 дня, 2 часа, 58 минут",26.7,"3 дня, 2 часа, 58 минут",26.7,"3 дня, 2 часа, 58 минут",26.7,"3 дня, 2 часа, 58 минут"
10,c95601c8567647ab8d335800be88a978,309,263,44,3,98,18,236,0,43.0,"2 дня, 22 часа, 42 минуты",52.33,"2 дня, 20 часов, 10 минут",51.75,"2 дня, 7 часов, 55 минут",51.2,"1 день, 17 часов, 56 минут",55.6,"2 дня, 2 часа, 32 минуты",64.8,"3 дня, 20 часов, 37 минут",70.56,"4 дня, 3 часа, 50 минут",70.56,"4 дня, 3 часа, 50 минут",70.56,"4 дня, 3 часа, 50 минут"
11,7716340ff8344c359a2d2c59adb42fea,316,174,85,2,65,20,154,0,14.0,"1 день, 14 часов, 28 минут",18.0,"1 день, 10 часов, 42 минуты",23.75,"1 день, 14 часов, 37 минут",27.6,"1 день, 10 часов, 4 минуты",27.3,"1 день, 2 минуты",40.93,"22 часа, 2 минуты",63.7,"22 часа, 40 минут",63.7,"22 часа, 40 минут",63.7,"22 часа, 40 минут"
12,8d6cf228fd2c4bc889d161c2841f79ea,137,28,1,1,19,15,286,0,119.5,"20 часов, 36 минут",137.67,"1 день, 12 часов, 10 минут",142.5,"1 день, 7 часов, 50 минут",171.4,"2 дня, 4 часа, 59 минут",192.5,"2 дня, 15 часов, 44 минуты",208.33,"3 дня, 1 час, 4 минуты",208.33,"3 дня, 1 час, 4 минуты",208.33,"3 дня, 1 час, 4 минуты",208.33,"3 дня, 1 час, 4 минуты"
13,231cf867bbc943fa823baa74885121dc,108,37,8,35,0,20,263,0,86.0,"5 дней, 17 часов, 47 минут",173.0,"13 дней, 23 часа, 23 минуты",209.5,"11 дней, 8 часов, 33 минуты",280.0,"23 дня, 11 часов, 1 минута",362.5,"17 дней, 8 часов, 11 минут",332.27,"12 дней, 4 часа, 28 минут",339.45,"40 дней, 16 часов, 43 минуты",339.45,"40 дней, 16 часов, 43 минуты",339.45,"40 дней, 16 часов, 43 минуты"
14,3c06fd1312a245849c915f7c71e49922,27,120,94,1,0,6,13,0,66.5,4 минуты,65.33,"12 часов, 39 минут",66.5,"9 часов, 10 минут",66.6,7 часов,107.33,"3 дня, 14 часов, 9 минут",107.33,"3 дня, 14 часов, 9 минут",107.33,"3 дня, 14 часов, 9 минут",107.33,"3 дня, 14 часов, 9 минут",107.33,"3 дня, 14 часов, 9 минут"
15,c5647b22545c4c3eb7dc144ba1bda736,25,7,1,1,0,10,8,0,44.0,"20 часов, 55 минут",48.0,"10 часов, 29 минут",77.0,"23 часа, 3 минуты",61.6,"2 дня, 16 часов, 28 минут",50.8,"1 день, 13 часов, 31 минута",50.8,"1 день, 13 часов, 31 минута",50.8,"1 день, 13 часов, 31 минута",50.8,"1 день, 13 часов, 31 минута",50.8,"1 день, 13 часов, 31 минута"
16,c0dc4caa4a6742f58239c06c8ae6ee3d,2700,577,110,4,402,19,199,0,10.0,"1 день, 2 минуты",11.0,1 день,11.75,1 день,12.2,1 день,13.5,"1 день, 2 часа, 20 минут",12.0,"18 часов, 48 минут",14.95,"22 часа, 39 минут",14.95,"22 часа, 39 минут",14.95,"22 часа, 39 минут"
17,67d07aed7bf14add979bf481ce1a9129,22100,1150,325,5,756,9,390,0,1.5,"1 день, 8 часов, 9 минут",1.0,"1 день, 2 часа, 53 минуты",0.75,"1 день, 7 часов, 51 минута",0.6,"1 день, 1 час, 40 минут",0.44,1 день,0.44,1 день,0.44,1 день,0.44,1 день,0.44,1 день
18,e0a8f0afcd7e4317a50ea5c0eb2caa78,9490,578,23,27,549,14,1170,0,2.5,"7 часов, 42 минуты",2.0,"1 день, 11 часов, 22 минуты",1.75,"1 день, 7 часов, 52 минуты",1.4,"1 день, 1 час, 24 минуты",1.3,"1 день, 3 часа, 29 минут",1.29,"1 день, 4 часа, 10 минут",1.29,"1 день, 4 часа, 10 минут",1.29,"1 день, 4 часа, 10 минут",1.29,"1 день, 4 часа, 10 минут"
19,80f45ce129894295bc784236681967f1,6470,255,34,1,147,13,436,0,5.5,"5 дней, 3 часа, 24 минуты",3.67,"5 дней, 12 часов, 43 минуты",2.75,"5 дней, 17 часов, 16 минут",2.2,"4 дня, 6 часов, 57 минут",1.4,"5 дней, 21 час, 39 минут",1.15,"5 дней, 21 час, 33 минуты",1.15,"5 дней, 21 час, 33 минуты",1.15,"5 дней, 21 час, 33 минуты",1.15,"5 дней, 21 час, 33 минуты"
20,4defa3a787a24bb79fef07a9ed182fef,23300,1360,177,39,1760,20,346,0,1.5,"2 часа, 14 минут",1.67,"6 часов, 35 минут",2.0,"16 часов, 55 минут",2.4,"18 часов, 42 минуты",2.8,"13 часов, 7 минут",2.93,"13 часов, 51 минута",2.4,"11 часов, 32 минуты",2.4,"11 часов, 32 минуты",2.4,"11 часов, 32 минуты"
